#Tamil Nadu Capital Expenditure 2002-2018
head,desc,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
4055,Capital Outlay on Police,"118,99.17","103,48.93","258,02.16","38,40.20","121,70.10","189,20.35","105,59.53","135,62.06","217,03.36","116,49.19","216,66.96","222,48.19","643,25.55","546,68.27","404,30.94","291,42.27","410,41.55"
4058,Capital Outlay on Stationery and Printing,36.01,42.89,27.82,99.57,"1,15.26",73.62,"-6,45.05",,"3,70.24",,"6,15.63","2,41.48","21,42.81","27,78.89","3,30.41",21.82,111.81
4059,Capital Outlay on Public Works,"33,40.86","97,06.89","46,25.85","43,56.70","51,39.93","71,96.20","114,28.03","392,66.75","517,32.45","154,39.08","213,28.57","324,51.40","370,42.41","377,61.70","255,81.99","391,54.79","383,97.87"
4070,Capital outlay on Other Administrative Services,"20,68.83","51,39.70","71,16.29","42,64.83","20,39.13","15,11.66","17,23.13","1,50.36","3,59.29","3,18.80","20,54.53","52,32.22","28,49.84","101,83.99","87,40.07","164,14.38","62,27.48"
4202,Capital Outlay on Education, Sports, Art and Culture","13,59.18","79,07.12","99,38.33","260,51.86","178,94.15","222,25.39","99,77.16","361,57.71","358,46.81","374,42.22","208,00.66","364,74.77","598,25.35","1104,27.17","989,24.95","616,81.39","725,27.24"
4210,Capital Outlay on Medical and Public Health,"48,33.55","65,92.97","47,79.22","244,97.64","101,57.03","74,15.71","124,08.65","353,16.50","324,71.75","175,41.52","252,35.65","362,84.26","322,28.33","330,50.28","593,27.31","285,73.69","464,31.77"
4211,Capital Outlay on Family Welfare,3.51,(-) 2.20,,"1,26.01","16,96.75","21,63.52","69,12.51","101,14.62",90.76,"25,00.96","51,52.16","225,99.91","245,90.82","249,42.51","94,06.58","121,57.12","266,17.49"
4215,Capital Outlay on Water Supply and Sanitation,"435,83.24","441,77.11","1,348,25.93","387,01.23","471,79.98","611,56.09","603,72.08","804,08.60","943,34.64","1,637,67.57","1,318,55.40","1,383,42.86","1,408,72.00","1,661,77.47","1,291,31.45","872,03.47","974,44.06"
4216,Capital Outlay on Housing,"38,41.42","31,50.60","321,66.50","26,70.28","76,83.11","26,26.66","67,85.37","122,55.47","2062,23.47","1436,35.68","1486,79.37","2,038,69.22",",143,99.19",",321,75.75",",192,09.84","78,05.03","81,94.30"
4217,Capital Outlay on Urban Development,"64,10.95","807,54.96","533,82.30","82,43.34","188,51.76","166,02.52","310,01.79","283,82.14","134,77.92","1,047,66.43","1,706,19.86","1,745,16.35","1,172,71.82","1,758,17.16","2,729,14.49","2,579,33.00","4,433,28.30"
4220,Capital Outlay on Information and Publicity,60.60,"3,31.14","1,45.02","1,42.71","2,54.71","2,01.24","2,30.39",48.90,"3,00.26","2,55.90","15,18.97","31,97.44","62,24.87","24,20.06","4,20.83","4,47.29","33,36.56"
4221,Capital Outlay on Broadcasting,,,,,,,"25,00.00",,,,,,,,,,
4225,"Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes Other Backward Classes and Minorities","14,34.39","75,17.15","90,48.75","108,59.85","85,79.75","102,50.40","101,44.54","110,99.37","76,79.59","107,73.17","71,69.42","159,64.62","162,82.51","144,16.79","98,89.57","117,87.50","94,85.49"
4235,Capital Outlay on Social Security and Welfare,31.55,70.83,"1,80.10","1,42.56","1,16.71","1,69.44","1,76.13","2,94.88","1,81.63","5,33.78","23,40.05","20,70.18","18,89.50","8,64.73","6,04.95","13,95.56","15,26.55"
4236,Capital Outlay on Nutrition,(-) 4.27,"4,71.26",23.50,84.42,"2,59.85","7,05.40","22,82.40",,"198,03.26",,-14.70,35961.24,6367.67,2562.86,1929.94,"19,91.49","-135,16.41"
