,2017,2018,2019
Andhra Pradesh,59.61,60.59,64.84
Arunachal Pradesh,34.51,40.29,42.14
Assam,31.06,32.28,33.03
Bihar,5.76,6.45,7.07
Chhattisgarh,32.27,35.07,35.10
Goa,0.00,0.00,0.00
Gujarat,93.63,95.25,95.25
Haryana,92.59,93.55,93.64
Himachal Pradesh,77.55,74.06,74.71
Jammu And Kashmir,57.47,59.00,60.15
Jharkhand,21.30,25.17,25.17
Karnataka,40.00,44.08,73.28
Kerala,20.94,25.79,26.55
Madhya Pradesh,36.84,40.74,40.75
Maharashtra,66.40,61.83,62.76
Manipur,66.81,68.84,71.13
Meghalaya,20.01,32.96,33.88
Mizoram,62.72,64.35,67.63
Nagaland,48.30,54.30,55.91
Odisha,34.45,41.41,45.41
Punjab,63.51,67.32,68.24
Rajasthan,24.47,27.13,31.43
Sikkim,31.15,29.55,34.62
Tamil Nadu,92.45,94.73,96.67
Telangana,48.37,54.69,59.69
Tripura,51.11,55.25,55.94
Uttar Pradesh,14.55,14.60,14.83
Uttarakhand,41.06,42.31,44.28
West Bengal,24.93,22.33,26.23
A And N Island,81.89,81.89,81.89
Puducherry,56.39,56.39,56.39
Total,36.52,37.84,40.50
"Source: Department of Drinking Water & Sanitation, Ministry of Jal Shakti",,,
