State/ut,2015-16,2016-17,2017-18
Andhra Pradesh,0.16,0.04,0.06
Arunachal Pradesh,1.38,2.80,3.25
Assam,0.19,0.13,0.48
Bihar,0.14,0.21,0.44
Chhattisgarh,-,0.04,0.19
Goa,-,-,0.07
Gujarat,0.24,0.13,0.34
Haryana,-,0.01,-
Himachal Pradesh,1.87,0.56,1.04
Jammu and Kashmir,0.16,0.02,0.05
Jharkhand,-,0.02,0.03
Karnataka,-,0.07,0.11
Kerala,0.19,0.14,0.37
Madhya Pradesh,-,0.23,-
Maharashtra,0.00,0.12,0.11
Manipur,0.54,-,0.52
Meghalaya,0.16,0.13,0.35
Mizoram,-,-,1.11
Nagaland,0.24,-,1.04
Odisha,0.01,0.01,0.02
Punjab,0.04,0.04,0.01
Rajasthan,0.05,0.11,0.11
Sikkim,0.16,2.01,1.69
Tamil Nadu,0.55,0.01,0.06
Telangana,-,0.13,0.00
Tripura,0.03,0.13,0.43
Uttar Pradesh,0.02,0.04,0.05
Uttarakhand,0.29,1.06,0.52
West Bengal,0.20,0.21,0.21
Andaman & Nicobar Islands,-,-,-
Chandigarh,-,-,-
Dadra and Nagar Haveli,-,-,-
Daman and Diu,-,-,-
Delhi,-,-,-
Lakshadweep,-,-,-
Puducherry,0.29,-,-
Total,0.11,0.12,0.16
"Note: “-” refers that data is not available 
Source: Annual Report -2015-16 & 2016-17,2017-18 Ministry of Home Affairs",,,
