Puducherry,2013-2014,-175
Puducherry,2014-2015,-42
Puducherry,2015-2016,-197
Puducherry,2016-2017,-75
Puducherry,2017-2018,196
Andhra Pradesh,2013-2014,344
Andhra Pradesh,2014-2015,-10417
Andhra Pradesh,2015-2016,-7302
Andhra Pradesh,2016-2017,-17231
Andhra Pradesh,2017-2018,-16151
Arunachal Pradesh,2013-2014,89
Arunachal Pradesh,2014-2015,1979
Arunachal Pradesh,2015-2016,2190
Arunachal Pradesh,2016-2017,2385
Arunachal Pradesh,2017-2018,2874
Assam,2013-2014,223
Assam,2014-2015,-897
Assam,2015-2016,5446
Assam,2016-2017,-143
Assam,2017-2018,-1350
Bihar,2013-2014,6441
Bihar,2014-2015,5847
Bihar,2015-2016,12507
Bihar,2016-2017,10820
Bihar,2017-2018,14823
Chhattisgarh,2013-2014,-809
Chhattisgarh,2014-2015,-1573
Chhattisgarh,2015-2016,2367
Chhattisgarh,2016-2017,5521
Chhattisgarh,2017-2018,3417
Delhi,2013-2014,0
Delhi,2014-2015,6075
Delhi,2015-2016,8656
Delhi,2016-2017,5044
Delhi,2017-2018,4913
Goa,2013-2014,-354
Goa,2014-2015,278
Goa,2015-2016,133
Goa,2016-2017,699
Goa,2017-2018,511
Gujarat,2013-2014,4717
Gujarat,2014-2015,5326
Gujarat,2015-2016,1704
Gujarat,2016-2017,5947
Gujarat,2017-2018,5231
Haryana,2013-2014,-3875
Haryana,2014-2015,-8319
Haryana,2015-2016,-11679
Haryana,2016-2017,-15907
Haryana,2017-2018,-10562
Himachal Pradesh,2013-2014,-1641
Himachal Pradesh,2014-2015,-1944
Himachal Pradesh,2015-2016,1138
Himachal Pradesh,2016-2017,920
Himachal Pradesh,2017-2018,314
Jammu and Kashmir,2013-2014,70
Jammu and Kashmir,2014-2015,-390
Jammu and Kashmir,2015-2016,-640
Jammu and Kashmir,2016-2017,2166
Jammu and Kashmir,2017-2018,7595
Jharkhand,2013-2014,2665
Jharkhand,2014-2015,-230
Jharkhand,2015-2016,4086
Jharkhand,2016-2017,1965
Jharkhand,2017-2018,1136
Karnataka,2013-2014,353
Karnataka,2014-2015,528
Karnataka,2015-2016,1789
Karnataka,2016-2017,1293
Karnataka,2017-2018,4518
Kerala,2013-2014,-11309
Kerala,2014-2015,-13796
Kerala,2015-2016,-9657
Kerala,2016-2017,-15485
Kerala,2017-2018,-16928
Madhya Pradesh,2013-2014,5879
Madhya Pradesh,2014-2015,6268
Madhya Pradesh,2015-2016,5740
Madhya Pradesh,2016-2017,3769
Madhya Pradesh,2017-2018,4629
Maharashtra,2013-2014,-5081
Maharashtra,2014-2015,-12138
Maharashtra,2015-2016,-5338
Maharashtra,2016-2017,-8536
Maharashtra,2017-2018,2082
Manipur,2013-2014,1564
Manipur,2014-2015,731
Manipur,2015-2016,898
Manipur,2016-2017,944
Manipur,2017-2018,1084
Meghalaya,2013-2014,715
Meghalaya,2014-2015,176
Meghalaya,2015-2016,695
Meghalaya,2016-2017,602
Meghalaya,2017-2018,851
Mizoram,2013-2014,-152
Mizoram,2014-2015,-141
Mizoram,2015-2016,1106
Mizoram,2016-2017,1168
Mizoram,2017-2018,1699
Nagaland,2013-2014,748
Nagaland,2014-2015,888
Nagaland,2015-2016,462
Nagaland,2016-2017,790
Nagaland,2017-2018,828
Odisha,2013-2014,3329
Odisha,2014-2015,5862
Odisha,2015-2016,10136
Odisha,2016-2017,9259
Odisha,2017-2018,13367
Punjab,2013-2014,-6537
Punjab,2014-2015,-7591
Punjab,2015-2016,-8550
Punjab,2016-2017,-7311
Punjab,2017-2018,-9455
Rajasthan,2013-2014,-1039
Rajasthan,2014-2015,-3215
Rajasthan,2015-2016,-5954
Rajasthan,2016-2017,-18114
Rajasthan,2017-2018,-18535
Sikkim,2013-2014,868
Sikkim,2014-2015,731
Sikkim,2015-2016,140
Sikkim,2016-2017,822
Sikkim,2017-2018,1061
Tamil Nadu,2013-2014,-1788
Tamil Nadu,2014-2015,-6408
Tamil Nadu,2015-2016,-11985
Tamil Nadu,2016-2017,-12964
Tamil Nadu,2017-2018,-21594
Tripura,2013-2014,1701
Tripura,2014-2015,1797
Tripura,2015-2016,1558
Tripura,2016-2017,790
Tripura,2017-2018,-289
Uttar Pradesh,2013-2014,10067
Uttar Pradesh,2014-2015,22394
Uttar Pradesh,2015-2016,14340
Uttar Pradesh,2016-2017,20283
Uttar Pradesh,2017-2018,12552
Uttarakhand,2013-2014,1104
Uttarakhand,2014-2015,-917
Uttarakhand,2015-2016,-1852
Uttarakhand,2016-2017,-383
Uttarakhand,2017-2018,-1978
West Bengal,2013-2014,-18915
West Bengal,2014-2015,-17137
West Bengal,2015-2016,-9095
West Bengal,2016-2017,-16085
West Bengal,2017-2018,-9807
Telangana,2013-2014,0
Telangana,2014-2015,369
Telangana,2015-2016,238
Telangana,2016-2017,1386
Telangana,2017-2018,3459
