2070,OTHER ADMINISTRATIVE SERVICES,"16,14,61","12,45,85","13,10,73","14,12,11"
2235,SOCIAL SECURITY AND WELFARE,"53,77","65,65","65,65","65,65"
2408,FOOD STORAGE AND WAREHOUSING,,"1","3","3"
3456,CIVIL SUPPLIES,"81,54,58,53","61,46,77,70","85,09,88,08","66,60,47,34"
4070,CAPITAL OUTLAY ON OTHER ADMINISTRATIVE SERVICES,"3,07,91",,"1,14,14","1"
4408,CAPITAL OUTLAY ON FOOD STORAGE AND WARE HOUSING,"1,42,22,39","4,81,31,00","4,68,61,40","3,61,40,04"
#by Dept
#Head of Department,Revenue,Capital,Loan,Total
1301,Commissionerate of Civil Supplies and Consumer Protection Charged,"4,,4
1301,Commissionerate of Civil Supplies and Consumer Protection Voted,"66,61,12,98","3,61,40,05",,"70,22,53,03"
1302,State Consumer Dispute Redressal Commission Voted,"14,12,11,,"14,12,11"
13,Total Charged,4,,,4
13,Total Voted,"66,75,25,09","3,61,40,05",,"70,36,65,14"
