2015,ELECTIONS,"4,91,77","1,72,37,39","2,39,38,35","91,68,34"
2059,PUBLIC WORKS,"- 2",,,
2070,OTHER ADMINISTRATIVE SERVICES,"4,61,56","4,86,86","4,91,73","5,05,89"
2210,MEDICAL AND PUBLIC HEALTH,,1,,
2215,WATER SUPPLY AND SANITATION,"8,13,88,74","4,08,58,69","5,64,81,81","4,06,98,17"
2216,HOUSING,"16,78,54,03","11,65,98,38","11,22,72,38","12,41,36,75"
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES","23,83,14","26,65,35","26,93,01","31,20,52"
2235,SOCIAL SECURITY AND WELFARE,"1,38,82,41","4,22,00,06","3,79,04,43","4,16,48,92"
2251,SECRETARIAT - SOCIAL SERVICES,"68,55","68,12","70,18","77,36"
2501,SPECIAL PROGRAMMES FOR RURAL DEVELOPMENT,"3,90,83,32","6,29,17,98","6,26,61,22","8,22,72,86"
2505,RURAL EMPLOYMENT,"28,42,51,90","27,55,61,74","23,39,68,60","40,95,56,93"
2515,OTHER RURAL DEVELOPMENT PROGRAMMES,"8,38,76,68","8,54,63,18","9,89,90,19","10,14,52,10"
2551,HILL AREAS,,1,,
2810,NEW AND RENEWABLE ENERGY,"1,23,63","2,22,06","1,22,47","1,35,63"
3451,SECRETARIAT - ECONOMIC SERVICES,"8,48,36","9,42,98","11,03,11","10,89,99"
3454,CENSUS SURVEYS AND STATISTICS,"59,03","84,02","81,47","94,31"
3604,COMPENSATION AND ASSIGNMENTS TO LOCAL BODIES AND PANCHAYAT RAJ INSTITUTIONS,"80,23,03,87","97,39,66,04","93,45,65,11","1,10,28,32,57"
