2052,SECRETARIAT - GENERAL SERVICES,"16,33,69","15,26,24","15,59,45","18,51,26"
2059,PUBLIC WORKS,"46,47,30","1,32,05,53","1,48,14,13","1,76,74,87"
2216,HOUSING,"24,29,67","25,39,76","33,23,09","43,86,24"
2551,HILL AREAS,"17,50","17,50","17,50","17,50"
4059,CAPITAL OUTLAY ON PUBLIC WORKS,"3,83,60,51","4,20,69,32","5,03,96,63","5,61,87,92"
"CAPITAL OUTLAY ON EDUCATION, SPORTS, ART AND CULTURE","1,19,00,20","70,44,63","98,33,63","1,09,76,26"
4210,CAPITAL OUTLAY ON MEDICAL AND PUBLIC HEALTH,"4,50,57,64","3,91,34,75","4,22,28,85","4,13,58,83"
4215,CAPITAL OUTLAY ON WATER SUPPLY AND SANITATION,"2,16,23","8,44,15","8,33,44","11,57,76"
4216,CAPITAL OUTLAY ON HOUSING,"92,83,13","69,82,54","51,73,59","92,15,72"
4220,CAPITAL OUTLAY ON INFORMATION AND PUBLICITY,"33,36,56","24,11,00","39,02,78","5,22,49"
4225,"CAPITAL OUTLAY ON WELFARE OF SCHEDULED CASTES,SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES","2,33,01","3,33,17","3,28,95","4,56,95"
4235,CAPITAL OUTLAY ON SOCIAL SECURITY AND WELFARE,"3,93,56","7,02,07","5,26,26","2,90,91"
4401,CAPITAL OUTLAY ON CROP HUSBANDRY,"24,01",...,...,...
4403,CAPITAL OUTLAY ON ANIMAL HUSBANDRY,"3,88,97","9,43,43","9,31,47","12,93,92"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"40,50",1,"40,50","10,00"
