2070,OTHER ADMINISTRATIVE SERVICES,"3,19,36,18","3,52,80,09","3,45,60,21","3,73,77,70"
4070,CAPITAL OUTLAY ON OTHER ADMINISTRATIVE SERVICES,"31,51,24","50,96,39","65,27,42","31,90,69"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,,1,"1","1"
0,1,2,3
,BUDGET ESTIMATE 2020-21,,
,Ïð£Œ ÝJóˆF™,Rupees in Thousands,
Revenue,Capital,Loan,Total
"3,73,77,69
ñ£Qò‚ «è£K‚¬è ÜÂñFˆî¶","31,90,69",1,"4,05,68,39"
DEMAND FOR GRANT-Voted,,,
1,...,...,1
,,Gèó„ ªêô¾ Ïð£Œ ÝJóˆF™,
,,Net Expenditure Rupees in Thousands,
,2018-19,2019-20,"2019-20
2020-21"
,,õó¾,õó¾
,èí‚°èœ,ªêô¾ˆ,"F¼ˆî
ªêô¾ˆ"
,,F†ì,"ñFŠd´
 F†ì"
,,ñFŠd´,ñFŠd´
,Accounts,Budget,"Revised
Budget"
,,Estimate,"Estimate
Estimate"
OTHER ADMINISTRATIVE,"3,19,36,18","3,52,80,09","3,45,60,21
 3,73,77,70"
SERVICES,,,
CAPITAL OUTLAY ON OTHER,"31,51,24","50,96,39","65,27,42
 31,90,69"
ADMINISTRATIVE SERVICES,,,
LOANS TO GOVERNMENT,...,1,"1
 1"
SERVANTS ETC.,,,
,,2020-21   õó¾ ªêô¾ˆ F†ì ñFŠd´,
,,BUDGET ESTIMATE 2020-21,
,,Ïð£Œ ÝJóˆF™ (ªî£° ªñ£ˆî‹),Rupees in Thousands (Gross)
Head of Department,Revenue,Capital,"Loan
   Total"
Charged,1,...,"...
 1"
Voted,"3,73,77,69","31,90,69","1
 4,05,68,39"
,1,...,"...
 1"
"Charged
TOTAL : 
ªñ£ˆî‹",,,
Voted,"3,73,77,69","31,90,69","1
 4,05,68,39"
