#Department,Revenue,Capital,Loan,Total
9,1,Secretariat Charged,1,,,1
9,1,Secretariat Voted,"20,04,58",,"30,00","20,34,58"
9,2,Directorate of Backward Classes Welfare Charged,2,,,2
9,2,Directorate of Backward Classes Welfare Voted,"4,44,40,65","7,33,02",,"4,51,73,67"
9,3,Directorate of Most Backward Classes & Denotified Communities Charged,3,,,3
9,3,Directorate of Most Backward Classes & Denotified Communities Voted,"5,01,14,14","35,66,48",,"5,36,80,62"
9,4,Backward Classes Commission Voted,"89,87",,,"89,87"
9,5,State Minorities Commission Charged,1,,,1
9,5,State Minorities Commission Voted,"62,06",,,"62,06"
9,6,Directorate of Minorities Welfare Charged,1,,,1
9,6,Directorate of Minorities Welfare Voted,"19,34,52","3,29,00",,"22,63,52"
9,7,Tamil Nadu Waqf Tribunal Voted,"97,15",,,"97,15"
9,,Total Charged,8,,,8
9,,Total Voted,"9,87,42,97","46,28,50","30,00","10,34,01,47"
