#(Rupees in Thousands)
head,desc,2018-19,2019-20,2019-20,2020-21,dpcode
2404-00,DAIRY DEVELOPMENT,,,,,
001,"Direction and Administration State's Expenditure",,,,,
AA,Establishment of Milk Production and Dairy Development Department,,,,,2404 00 001 AA 30000
301,Salaries,"6,88,06","6,71,37","7,51,81","7,81,33",2404 00 001 AA 30100
01,Pay,"6,07,99","5,82,30","6,66,43","6,93,09",2404 00 001 AA 30101
02,Medical Allowance,"5,00","4,66","5,67","5,90",2404 00 001 AA 30102
03,Medical Charges,17,25,25,25,2404 00 001 AA 30103
04,Other Allowances,"12,88","12,00","13,30","13,30",2404 00 001 AA 30104
06,House Rent Allowance,"54,66","64,13","57,88","60,19",2404 00 001 AA 30106
07,"Travel Concession",,40,10,10,2404 00 001 AA 30107
08,City Compensatory Allowance,"7,36","7,63","8,18","8,50",2404 00 001 AA 30108
302,Wages,63,60,"1,10","1,15",2404 00 001 AA 30200
01,Wages,63,60,"1,10","1,15",2404 00 001 AA 30201
303,Dearness Allowance,"59,70","75,72","1,06,62","1,69,81",2404 00 001 AA 30300
01,Dearness Allowance,"59,70","75,72","1,06,62","1,69,81",2404 00 001 AA 30301
304,Travel Expenses,"11,25","12,40","10,80","10,80",2404 00 001 AA 30400
01,"Tour Travelling Allowances","11,16","12,00","10,50","10,50",2404 00 001 AA 30401
02,"Transfer Travelling Allowances",9,40,30,30,2404 00 001 AA 30402
305,Office Expenses,"14,39","17,70","21,70","20,70",2404 00 001 AA 30500
01,"Telephone Charges","1,15","2,00","2,00","2,00",2404 00 001 AA 30501
02,Other Contingencies,"2,56","2,70","2,70","2,70",2404 00 001 AA 30502
03,"Electricity Charges","9,79","12,00","16,00","15,00",2404 00 001 AA 30503
04,"Service Postage & Postal Expenditure",89,"1,00","1,00","1,00",2404 00 001 AA 30504
306,Rent, Rates and Taxes","8,47","11,57","10,28","9,81",2404 00 001 AA 30600
01,Rent,81,"3,00",70,73,2404 00 001 AA 30601
02,"Property tax","6,67","7,00","7,00","7,28",2404 00 001 AA 30602
03,Water Charges,99,"1,57","2,58","1,80",2404 00 001 AA 30603
308,Advertising and Publicity,"1,76","1,00","4,60","1,00",2404 00 001 AA 30800
01,Advertisement Charges,"1,76","1,00","4,60","1,00",2404 00 001 AA 30801
317,Minor Works,"2,10","3,30","3,30","3,30",2404 00 001 AA 31700
01,Minor Works,"2,10","3,30","3,30","3,30",2404 00 001 AA 31701
