2051,PUBLIC SERVICE COMMISSION,"4,07,41","4,10,99","4,28,20","4,84,48"
2059,PUBLIC WORKS,"39,62,55","38,92,00","38,92,00","39,44,10"
2202,GENERAL EDUCATION,"2,75,99,63,95","2,82,23,27,84","2,91,64,04,47","3,35,84,72,64"
2204,SPORTS AND YOUTH SERVICES,"1,62,72","2,01,09","2,00,26","2,31,47"
2205,ART AND CULTURE,"1,20,31,53","1,25,01,02","1,30,56,68","1,41,98,69"
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES","1,57,33,02","1,68,50,99","1,97,44,53","1,70,84,74"
2235,SOCIAL SECURITY AND WELFARE,"1,84,60","90,00","2,44,69","90,00"
2251,SECRETARIAT - SOCIAL SERVICES,"13,29,47","9,28,74","11,22,90","10,80,31"
4202,"CAPITAL OUTLAY ON EDUCATION, SPORTS, ART AND CULTURE","2,60,50,57","3,84,31,47","2,58,34,80","2,24,68,00"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"12,50","29,50","29,50","29,50"
7615,MISCELLANEOUS LOANS,,1,,
