2011,PARLIAMENT/STATE/ UNION TERRITORY LEGISLATURES 
02,State/ Union Territory Legislatures 
101,"Legislative Assembly State's Expenditure" 
AA,Pay of Speaker and Deputy Speaker,,,,2011 02 101 AA 30000 
301,Salaries Charged,"26,42","20,90","20,90","20,90",2011 02 101 AA 30100
01,Pay Charged,"10,72","7,20","7,20","7,20",2011 02 101 AA 30101
03,Medical Charges Charged,,"2,00","2,00","2,00",2011 02 101 AA 30103
04,Other Allowances Charged,"15,70","11,70","11,70","11,70",2011 02 101 AA 30104
304,Travel Expenses Charged,"16,72","24,00","31,72","24,00",2011 02 101 AA 30400
01,Tour Travelling Allowances Charged,"16,72","24,00","31,72","24,00",2011 02 101 AA 30401
305,Office Expenses Charged,"1,03","4,00","4,00","4,00",2011 02 101 AA 30500
01,Telephone Charges Charged,"1,03","4,00","4,00","4,00",2011 02 101 AA 30501
306,"Rent, Rates and Taxes Charged",,"1,00","1,00","1,00",2011 02 101 AA 30600
01,Rent Charged,,"1,00","1,00","1,00",2011 02 101 AA 30601
310,Contributions Charged,,3,1,1,2011 02 101 AA 31000
02,"Insurance Premium Charged",,3,1,1,2011 02 101 AA 31002
313,Hospitality / Entertainment Expenditure Charged,7,"1,00","1,00","1,00",2011 02 101 AA 31300
01,Hospitality / Entertainment Expenditure Charged,7,"1,00","1,00","1,00",2011 02 101 AA 31301
321,Motor Vehicles Charged,,59,59,59,2011 02 101 AA 32100
01,Purchase Charged,,1,1,1,2011 02 101 AA 32101
02,Maintenance of Functional Vehicles Charged,,20,20,20,2011 02 101 AA 32102
03,Hire Charges Charged,,38,38,38,2011 02 101 AA 32103
345,"Petroleum, Oil and Lubricant Charged","1,16","7,34","5,00","6,22",2011 02 101 AA 34500
01,"Petroleum, Oil and Lubricant Charged","1,16","7,34","5,00","6,22",2011 02 101 AA 34501
AA,Total AA Charged,"45,40","58,86","64,22","57,72",
AB,"Pay and Allowances of Members other than Speaker, Deputy Speaker and Ministers",,,,,2011 02 101 AB 30000
301,"Salaries","26,68,70","26,10,96","25,49,58","26,10,96",2011 02 101 AB 30100
01,"Pay","8,03,60","7,27,20","7,05,82","7,27,20",2011 02 101 AB 30101
03,Medical Charges,"50,73","72,36","72,36","72,36",2011 02 101 AB 30103
04,Other Allowances,"18,14,37","18,11,40","17,71,40","18,11,40",2011 02 101 AB 30104
302,Wages,"17,54","20,27","20,27","21,22",2011 02 101 AB 30200
01,Wages,"17,54","20,27","20,27","21,22",2011 02 101 AB 30201
304,Travel Expenses,"1,61,32","2,68,00","2,47,68","2,68,00",2011 02 101 AB 30400
01,"Tour Travelling Allowances","1,61,32","2,68,00","2,47,68","2,68,00",2011 02 101 AB 30401
305,Office Expenses,"8,68","6,00","6,00","6,00",2011 02 101 AB 30500
02,Other Contingencies,"8,68","6,00","6,00","6,00",2011 02 101 AB 30502
310,Contributions,"3,00","3,01","3,01","3,01",2011 02 101 AB 31000
02,"Insurance Premium",,1,1,1,2011 02 101 AB 31002
09,Others,"3,00","3,00","3,00","3,00",2011 02 101 AB 31009
321,Motor Vehicles,,8,8,8,2011 02 101 AB 32100
01,"Purchase",,1,1,1,2011 02 101 AB 32101
02,Maintenance of Functional Vehicles,,6,6,6,2011 02 101 AB 32102
03,Hire Charges,,1,1,1,2011 02 101 AB 32103
345,"Petroleum, Oil and Lubricant",,"6,20","5,00","5,26",2011 02 101 AB 34500
01,"Petroleum, Oil and Lubricant",,"6,20","5,00","5,26",2011 02 101 AB 34501
373,Transport Charges,78,"4,20","4,20","4,20",2011 02 101 AB 37300
01,"Transport Charges",78,"4,20","4,20","4,20",2011 02 101 AB 37301
AB,Total AB,"28,60,02","29,18,72","28,35,82","29,18,73",
AD,Diamond Jubilee Celebrations of Tamil Nadu Legislative Assembly,,,,,2011 02 101 AD 30000
317,Minor Works,,1,,,2011 02 101 AD 31700
