2014,ADMINISTRATION OF JUSTICE,"60,79",,"83,18","1,19,96","1,01,32"
2015,ELECTIONS,"1,87,07,79","5,65,75,27","6,72,10,21","2,15,50,37"
2052,SECRETARIAT - GENERAL SERVICES,"52,32,33","64,28,77","69,03,09","61,13,15"
2059,PUBLIC WORKS,"9,08,87","6,53,30","6,57,72","6,90,43"
2070,OTHER ADMINISTRATIVE SERVICES,"44,52,74","35,73,53","48,74,62","40,86,35"
2075,MISCELLANEOUS GENERAL SERVICES,"12,69,13","4,32,90","7,89,30","6,04,69"
2216,HOUSING,"25,19","25,20","25,20","25,20"
2235,SOCIAL SECURITY AND WELFARE,"1,26,62,99","1,30,02,69","1,36,61,54","1,49,27,80"
2251,SECRETARIAT - SOCIAL SERVICES,"1,21,58","2,44,90","1,52,69","1,49,58"
4216,CAPITAL OUTLAY ON HOUSING,,1,"1","1"
4235,CAPITAL OUTLAY ON SOCIAL SECURITY AND WELFARE,,,,"- 79,47"
4425,CAPITAL OUTLAY ON CO-OPERATION,,1,"1","1"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"1,54,36","5,50,00","2,79,50","1,50,00"
