2059,PUBLIC WORKS,"2,66,71","2,46,00","2,46,00","2,58,30"
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES"
,"14,32","35,40","34,26","38,05"
2235,SOCIAL SECURITY AND WELFARE,"13,90,55,27","13,90,54,30","14,78,16,87","14,86,87,21"
2236,NUTRITION,"37,54,18,61","38,69,30,45","41,91,68,22","43,86,89,39"
2251,SECRETARIAT - SOCIAL SERVICES,"5,26,04","5,42,99","6,20,36","6,14,53"
2551,HILL AREAS,,"1",,
4235,CAPITAL OUTLAY ON SOCIAL SECURITY AND WELFARE,"3,36,98","12,36,01","14,57,22","8,45,50"
4236,CAPITAL OUTLAY ON NUTRITION,"- 1,35,16,41","21,17,13","51,59,85","39,47,85"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"25,00","2","2","25,01"
