#Fisheries
2059,PUBLIC WORKS,,"10,00","10,00","10,00"
2216,HOUSING,"27,14,65","25,00,01",3,"25,00,01"
2225,WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES OTHER BACKWARD CLASSES AND MINORITIES,"1,30,08","86,56","1,21,31","1,44,53"
2405,FISHERIES,"4,28,96,91","5,15,58,85","4,89,96,31","4,89,10,33"
2415,AGRICULTURAL RESEARCH AND EDUCATION,"67,40,92","40,00,58","49,22,91","40,07,91"
4405,CAPITAL OUTLAY ON FISHERIES,"2,46,74,75","3,46,28,90","1,37,60,02","6,71,70,56"
4551,CAPITAL OUTLAY ON HILL AREAS,,2,2,1
#by Dept
0701,Directorate of Fisheries Charged,1,,,1
0701,Directorate of Fisheries Voted,"5,58,14,26","6,71,70,57",,"12,29,84,83"
07,Total Charged,1,,,1
07,Total Voted,"5,58,14,26","6,71,70,57",,"12,29,84,83"
