#Source:RBI - Database of Indian Economy - Statement 4A - Districtwise SCBs - Amt in Crores
State,District,2016-17:Q1 Number of Reporting Offices,2016-17:Q1 Deposit,2016-17:Q1 Credit,2015-16:Q4 Number of Reporting Offices,2015-16:Q4 Deposit,2015-16:Q4 Credit,2015-16:Q3 Number of Reporting Offices,2015-16:Q3 Deposit,2015-16:Q3 Credit,,2015-16:Q2 Number of Reporting Offices,2015-16:Q2 Deposit,2015-16:Q2 Credit,2015-16:Q1 Number of Reporting Offices,2015-16:Q1 Deposit,2015-16:Q1 Credit,2014-15:Q4 Number of Reporting Offices,2014-15:Q4 Deposit,2014-15:Q4 Credit,2014-15:Q3 Number of Reporting Offices,2014-15:Q3 Deposit,2014-15:Q3 Credit,2014-15:Q2 Number of Reporting Offices,2014-15:Q2 Deposit,2014-15:Q2 Credit,2014-15:Q1 Number of Reporting Offices,2014-15:Q1 Deposit,2014-15:Q1 Credit,2013-14:Q4 Number of Reporting Offices,2013-14:Q4 Deposit,2013-14:Q4 Credit,2013-14:Q3 Number of Reporting Offices,2013-14:Q3 Deposit,2013-14:Q3 Credit,2013-14:Q2 Number of Reporting Offices,2013-14:Q2 Deposit,2013-14:Q2 Credit,2013-14:Q1 Number of Reporting Offices,2013-14:Q1 Deposit,2013-14:Q1 Credit,2012-13:Q4 Number of Reporting Offices,2012-13:Q4 Deposit,2012-13:Q4 Credit,2012-13:Q3 Number of Reporting Offices,2012-13:Q3 Deposit,2012-13:Q3 Credit,2012-13:Q2 Number of Reporting Offices,2012-13:Q2 Deposit,2012-13:Q2 Credit,2012-13:Q1 Number of Reporting Offices,2012-13:Q1 Deposit,2012-13:Q1 Credit,2011-12:Q4 Number of Reporting Offices,2011-12:Q4 Deposit,2011-12:Q4 Credit,2011-12:Q3 Number of Reporting Offices,2011-12:Q3 Deposit,2011-12:Q3 Credit,2011-12:Q2 Number of Reporting Offices,2011-12:Q2 Deposit,2011-12:Q2 Credit,2011-12:Q1 Number of Reporting Offices,2011-12:Q1 Deposit,2011-12:Q1 Credit,2010-11:Q4 Number of Reporting Offices,2010-11:Q4 Deposit,2010-11:Q4 Credit,2010-11:Q3 Number of Reporting Offices,2010-11:Q3 Deposit,2010-11:Q3 Credit,2010-11:Q2 Number of Reporting Offices,2010-11:Q2 Deposit,2010-11:Q2 Credit,2010-11:Q1 Number of Reporting Offices,2010-11:Q1 Deposit,2010-11:Q1 Credit,2009-10:Q4 Number of Reporting Offices,2009-10:Q4 Deposit,2009-10:Q4 Credit,2009-10:Q3 Number of Reporting Offices,2009-10:Q3 Deposit,2009-10:Q3 Credit,2009-10:Q2 Number of Reporting Offices,2009-10:Q2 Deposit,2009-10:Q2 Credit,2009-10:Q1 Number of Reporting Offices,2009-10:Q1 Deposit,2009-10:Q1 Credit,2008-09:Q4 Number of Reporting Offices,2008-09:Q4 Deposit,2008-09:Q4 Credit,2008-09:Q3 Number of Reporting Offices,2008-09:Q3 Deposit,2008-09:Q3 Credit,2008-09:Q2 Number of Reporting Offices,2008-09:Q2 Deposit,2008-09:Q2 Credit,2008-09:Q1 Number of Reporting Offices,2008-09:Q1 Deposit,2008-09:Q1 Credit,2007-08:Q4 Number of Reporting Offices,2007-08:Q4 Deposit,2007-08:Q4 Credit,2007-08:Q3 Number of Reporting Offices,2007-08:Q3 Deposit,2007-08:Q3 Credit,2007-08:Q2 Number of Reporting Offices,2007-08:Q2 Deposit,2007-08:Q2 Credit,2007-08:Q1 Number of Reporting Offices,2007-08:Q1 Deposit,2007-08:Q1 Credit,2006-07:Q4 Number of Reporting Offices,2006-07:Q4 Deposit,2006-07:Q4 Credit,2006-07:Q3 Number of Reporting Offices,2006-07:Q3 Deposit,2006-07:Q3 Credit,2006-07:Q2 Number of Reporting Offices,2006-07:Q2 Deposit,2006-07:Q2 Credit,2006-07:Q1 Number of Reporting Offices,2006-07:Q1 Deposit,2006-07:Q1 Credit,2005-06:Q4 Number of Reporting Offices,2005-06:Q4 Deposit,2005-06:Q4 Credit,2005-06:Q3 Number of Reporting Offices,2005-06:Q3 Deposit,2005-06:Q3 Credit,2005-06:Q2 Number of Reporting Offices,2005-06:Q2 Deposit,2005-06:Q2 Credit,2005-06:Q1 Number of Reporting Offices,2005-06:Q1 Deposit,2005-06:Q1 Credit,2004-05:Q4 Number of Reporting Offices,2004-05:Q4 Deposit,2004-05:Q4 Credit,2004-05:Q3 Number of Reporting Offices,2004-05:Q3 Deposit,2004-05:Q3 Credit,2004-05:Q2 Number of Reporting Offices,2004-05:Q2 Deposit,2004-05:Q2 Credit,2004-05:Q1 Number of Reporting Offices,2004-05:Q1 Deposit,2004-05:Q1 Credit,2003-04:Q4 Number of Reporting Offices,2003-04:Q4 Deposit,2003-04:Q4 Credit
TAMIL NADU,SIVAGANGA,233,6237,5591,231,6213,5528,229,5669,5390,,227,5520,5347,224,5390,5298,220,5373,5305,218,5023,5154,218,4842,5105,210,4737,4988,207,4709,4901,200,4396,4701,193,4244,4602,185,4184,4485,180,4174,4354,176,3905,3983,174,3895,3814,168,3740,3544,166,3712,3373,159,3467,3100,159,3381,2939,155,3262,2659,154,3238,2676,152,3046,2344,151,2870,2195,151,2812,2049,150,2807,2002,146,2683,1883,146,2645,1800,144,2552,1682,142,2583,1605,140,2297,1488,139,2182,1438,135,2133,1386,127,2066,1291,123,1895,1188,121,1896,1152,119,1814,1054,118,1805,1024,116,1674,959,113,1606,902,113,1530,818,113,1503,778,112,1398,726,111,1347,694,111,1290,631,111,1291,615,111,1227,568,110,1191,523,109,1181,492,109,1186,475
TAMIL NADU,ERODE,350,12889,15879,347,12886,16102,342,11934,15180,,337,11565,14773,334,11231,14480,333,11241,14497,324,10260,13624,320,9966,12837,309,9563,12536,302,9561,12664,293,8770,11883,279,8513,11699,270,8356,11515,264,8429,11632,261,7859,10732,259,7964,10384,255,7728,9741,250,7659,9697,231,7156,8916,231,7095,8735,226,6899,8169,226,6962,8188,212,6644,7501,210,6139,6903,205,5994,6630,204,5946,6644,197,5712,6107,195,5553,5948,250,6368,6719,250,6321,6716,242,5690,6291,240,5395,6082,238,5157,5963,236,5181,5936,232,4732,5380,228,4703,5199,221,4466,4875,218,4391,4864,216,4123,4403,214,3953,4225,214,3767,3925,212,3774,3788,212,3589,3444,212,3491,3244,212,3345,2909,212,3390,2861,209,3263,2501,206,3134,2328,206,3078,2156,208,3150,2166
TAMIL NADU,VIRUDHUNAGAR,234,8617,9644,233,8460,9396,229,7958,9002,,224,7585,9167,222,7312,9312,222,7302,9406,219,6860,8937,215,6577,9093,206,6403,9057,206,6491,9341,201,5939,8864,197,5630,8998,194,5422,8954,190,5507,8805,185,5146,8234,183,5090,8238,181,4980,7989,176,5023,7766,166,4808,7251,166,4521,7248,162,4346,6988,160,4404,6871,156,4208,6139,155,3871,5997,154,3780,5842,154,3836,5794,150,3659,5378,147,3566,5321,145,3296,5168,145,3356,5191,140,3122,4947,137,2914,4837,135,2815,4537,136,2863,4489,135,2687,3950,136,2603,3869,134,2411,3516,130,2303,3320,128,2108,2922,128,1995,2899,128,1880,2690,128,1911,2570,126,1855,2259,126,1741,2198,126,1645,2059,125,1676,1976,125,1654,1767,125,1556,1735,125,1522,1653,125,1554,1668
TAMIL NADU,MADURAI,426,19855,18711,422,19814,19248,417,18280,17803,,412,17825,17571,410,17540,17266,406,17552,17945,401,16372,16843,388,15925,16795,377,15660,16550,373,15928,16382,362,14688,15586,353,13994,15560,335,13629,15743,331,13723,15604,326,12723,14566,322,12931,14164,314,12431,13565,304,12161,12915,289,11517,11969,287,11252,11676,275,10748,10665,273,10811,10740,267,10142,9382,261,9718,8905,259,9576,8612,256,9661,8806,256,8870,7850,252,8824,7672,247,8337,7335,245,8280,7502,240,7471,7057,239,7161,6758,236,6986,6536,231,6769,6404,227,6293,5760,222,6080,5464,219,5620,5160,217,5399,5228,216,5084,4758,211,4920,4603,210,4696,4460,209,4519,4398,211,4314,3984,211,4244,3742,211,3974,3462,210,3976,3425,210,3739,3040,210,3674,2852,209,3577,2675,207,3595,2589
TAMIL NADU,RAMANATHAPURAM,134,3317,3604,133,3321,3595,132,3055,3575,,131,2975,3557,129,2927,3572,128,2927,3639,125,2741,3598,123,2672,3588,121,2644,3557,120,2652,3481,114,2510,3383,112,2433,3345,109,2400,3262,109,2379,3176,108,2254,2936,107,2237,2779,107,2176,2550,106,2163,2396,100,1976,2207,98,1898,2056,97,1863,1866,96,1896,1788,95,1774,1644,94,1724,1511,93,1645,1398,92,1640,1370,91,1570,1271,90,1534,1206,87,1513,1113,87,1523,1053,86,1345,996,85,1250,987,84,1268,955,83,1225,931,82,1116,862,82,1115,836,80,1072,770,79,986,734,78,985,694,78,942,657,78,887,577,78,856,556,78,813,522,78,782,497,78,758,436,78,744,417,77,715,387,77,694,352,76,685,324,75,671,308
TAMIL NADU,TOOTHUKUDI,228,8965,7269,227,9085,7327,225,8270,7340,,220,8436,7292,218,8494,7290,215,8950,7732,211,8270,7354,205,7686,7144,200,7322,7005,197,7270,7240,193,7684,6541,188,7562,6518,181,7507,6243,177,7408,6419,175,6456,5833,174,6439,5594,172,6163,5271,169,5987,5252,164,5151,4536,164,5233,4355,158,5081,4208,156,5131,4218,153,4565,3772,152,4369,3472,152,4154,3178,151,4088,3244,149,3800,2952,149,3678,2849,147,3576,2735,148,3579,2752,146,3274,2566,145,3196,2537,143,3148,2372,142,3052,2374,141,2805,2113,139,2678,2064,138,2528,1889,138,2384,1916,137,2249,1767,133,2209,1722,133,2093,1565,133,2061,1532,133,2000,1448,133,1941,1414,133,1789,1292,134,1766,1305,134,1730,1209,134,1729,1133,134,1711,1062,135,1677,1066
TAMIL NADU,TIRUNELVALI,384,13468,11525,377,13355,11383,371,12291,10941,,367,12099,10824,363,11859,10628,358,11758,10720,346,10901,10293,338,10579,10120,327,10249,10018,325,10222,10025,309,9453,9523,305,9227,9330,298,9009,8878,291,9033,8726,287,8531,8061,285,8584,7747,284,8301,6993,278,8026,6718,258,7493,6281,254,7369,5988,251,7108,5621,251,7072,5523,247,6699,5088,244,6437,4758,243,6265,4536,243,6202,4542,240,5881,4217,235,5751,4063,234,5554,3849,234,5514,3769,229,4931,3510,228,4770,3391,226,4506,3257,224,4439,3204,223,4158,2886,219,4051,2799,213,3788,2625,213,3619,2607,211,3432,2392,209,3304,2267,209,3137,2078,209,3099,2021,208,2962,1798,208,2897,1712,208,2757,1553,209,2773,1510,207,2694,1382,206,2663,1259,206,2571,1153,206,2583,1160
TAMIL NADU,KANYAKUMARI,281,9798,10288,274,9661,10221,265,8844,10107,,264,8518,10194,263,8319,10249,256,8194,10310,254,7607,10246,249,7320,10340,236,7096,10236,231,7036,10010,224,6613,9671,219,6390,9630,212,6243,9459,209,6234,9010,197,5903,8318,194,5950,8061,192,5788,7470,186,5544,6754,170,5263,6362,168,5171,6006,167,5002,5532,167,4963,5308,165,4794,4962,164,4632,4596,163,4493,4364,159,4436,4265,156,4179,3912,152,4112,3729,150,3957,3586,150,4083,3377,148,3620,3226,146,3450,3084,146,3295,2993,145,3240,2875,145,2994,2631,141,2924,2515,139,2745,2395,135,2684,2295,133,2568,2106,133,2494,1960,133,2378,1877,133,2339,1801,132,2211,1668,132,2180,1625,132,2088,1540,132,2062,1478,131,1926,1393,130,1896,1016,129,1878,940,129,1927,918
TAMIL NADU,PUDUKKOTTAI,180,4056,5316,178,4066,5314,179,3688,5158,,178,3625,5132,176,3552,5126,171,3600,5141,170,3290,4962,168,3217,4889,166,3129,4748,165,3149,4665,159,2869,4416,153,2755,4307,150,2678,4119,148,2734,3944,143,2623,3582,142,2601,3346,141,2506,3111,136,2483,2948,129,2299,2665,129,2215,2613,127,2161,2470,127,2220,2531,123,2058,1954,120,1931,1808,120,1886,1675,118,1883,1618,116,1804,1459,115,1798,1399,112,1674,1289,112,1710,1260,109,1510,1134,105,1398,1083,102,1355,1075,100,1293,1041,95,1174,945,93,1173,916,93,1111,853,92,1075,823,91,1009,767,90,973,725,90,921,667,89,889,641,89,826,595,88,780,557,88,761,513,88,747,495,86,687,455,86,680,398,86,672,362,85,673,358
TAMIL NADU,DINDIGUL,262,6921,8806,261,6793,9033,259,6266,8354,,259,6119,8225,258,6029,8216,255,5909,8396,251,5366,7857,249,5244,7751,243,5260,7811,242,5245,7908,234,4844,7107,226,4651,6986,218,4628,6826,210,4844,6923,205,4408,6208,197,4493,5854,194,4361,5636,189,4256,5462,179,3942,4912,177,3824,4750,172,3706,4654,170,3844,4724,166,3523,3981,165,3304,3542,164,3293,3462,164,3330,3506,162,3074,3208,158,2981,3165,155,2927,3085,152,2960,3035,151,2654,2725,149,2492,2697,148,2439,2859,147,2395,2912,145,2201,2451,142,2172,2355,141,2052,2232,140,2007,2306,140,1858,1905,140,1854,1806,138,1752,1763,137,1646,1717,137,1603,1424,137,1533,1392,137,1448,1332,137,1431,1324,137,1411,1157,137,1392,1108,137,1334,1087,137,1311,1136
TAMIL NADU,VILLUPURAM,271,5683,8389,270,5685,8338,264,5200,7970,,262,5070,7862,258,4991,7710,257,5050,7835,246,4492,7508,241,4456,7405,234,4399,7252,232,4415,7238,223,4000,6901,216,3842,6762,210,3832,6591,204,3968,6511,199,3672,5957,193,3698,5423,189,3584,5282,185,3488,4882,175,3162,4450,175,2995,4146,172,2939,3752,172,2941,3631,171,2829,3431,170,2574,3257,169,2518,3062,169,2557,3052,168,2370,2785,168,2246,2695,167,2205,2510,166,2238,2414,162,1986,2225,161,1878,2094,158,1923,2067,158,1848,1990,152,1688,1811,148,1691,1727,147,1590,1575,148,1461,1549,144,1617,1410,142,1555,1291,143,1369,1151,143,1174,1110,142,1095,1007,142,1087,960,142,1003,864,142,1023,830,142,908,762,142,883,691,142,878,624,145,891,622
TAMIL NADU,THENI,158,3407,5729,156,3384,5485,151,3071,5323,,150,2962,5582,149,2884,5531,149,2902,5663,147,2608,5398,144,2519,5345,143,2440,5282,142,2464,5331,138,2265,5158,136,2174,5102,129,2177,4964,127,2195,4854,119,2050,4473,117,2099,4213,115,2015,3953,114,2020,3756,105,1884,3396,105,1837,3216,104,1807,2971,104,1847,2895,103,1739,2679,97,1637,2521,96,1596,2446,96,1620,2444,92,1499,2262,92,1457,2183,91,1388,2072,88,1395,1985,86,1221,1822,85,1146,1747,84,1101,1682,82,1099,1595,80,1002,1418,79,968,1346,79,919,1275,78,889,1250,77,846,1142,76,801,1079,77,763,1012,76,741,913,75,692,828,74,654,770,74,629,698,74,628,664,74,595,610,74,582,587,74,564,552,74,572,539
TAMIL NADU,,10052,591814,669830,9939,604539,682310,9800,568561,646656,,9689,556328,639847,9573,538052,630995,9441,545350,651620,9209,509115,616318,9047,498428,605814,8791,491469,601088,8678,510694,608006,8374,463779,570045,8182,451243,565007,7966,447006,541047,7830,446577,549245,7646,407893,506650,7555,413207,488211,7440,400152,472346,7253,401182,465897,6841,370498,430710,6783,360720,416741,6645,334167,394358,6601,343635,392128,6450,310323,362197,6335,295343,335423,6268,282535,322989,6214,285337,321418,6108,263098,294945,6003,255040,282785,5901,244390,270074,5841,246992,268963,5706,224115,253124,5630,215929,245335,5534,207105,231551,5441,199949,226830,5318,181812,202031,5205,176986,194302,5128,167315,184303,5070,163166,183161,5012,149456,166370,4915,142850,155422,4898,134358,146514,4880,133418,141255,4862,121426,126014,4861,117730,121484,4858,110029,109850,4846,110329,108605,4822,103605,98902,4778,99652,90938,4769,98170,88180,4757,98873,88622
TAMIL NADU,Southern Region,37562,2243089,1972134,37110,2257806,2000945,36570,2116838,1876511,,36103,2064210,1820965,35705,2005665,1794921,35261,2026360,1834554,34408,1882126,1723465,33652,1825180,1684957,32754,1769560,1661837,32269,1781103,1675850,31258,1656959,1568891,30518,1605042,1545375,29778,1565924,1475206,29324,1552819,1497531,28487,1438638,1386835,28076,1437918,1345287,27617,1388958,1302004,26966,1368518,1295185,25844,1276315,1199060,25604,1238474,1166998,25208,1152630,1101879,24948,1162945,1093748,24463,1063908,1023808,24099,1011604,950547,23832,978988,908876,23586,983676,907391,23200,905976,825763,22742,891001,792285,22403,856674,761341,22149,862278,762337,21749,781109,710061,21534,749906,678160,21223,719539,640554,20771,702016,627119,20315,638793,563433,20012,621271,538547,19838,589665,507360,19629,576451,503143,19431,522994,457947,19151,501480,431284,19087,477977,404911,18972,468624,391701,18855,428648,354074,18842,417153,337784,18837,391091,308401,18777,391676,304147,18653,364539,276419,18485,352043,252689,18435,344676,239260,18371,346008,235536
TAMIL NADU,All India,134014,9548882,7246822,132587,9659968,7520929,130698,9126206,7004537,,129151,8940250,6705977,127343,8741243,6626902,125863,8890982,6880849,123184,8273580,6317959,120345,8114296,6157565,117847,7900095,6101517,115822,8028220,6264290,111778,7463012,5738614,108994,7226367,5624112,106389,7060182,5402849,104647,7051332,5506496,101567,6466317,5024884,100189,6479463,4888208,98341,6220773,4773559,96059,6174147,4782775,92690,5810546,4382234,91558,5704580,4245274,90147,5370669,4038310,89110,5426510,4076868,87152,4954727,3778512,85886,4672002,3436948,84986,4540130,3356757,83997,4601926,3345619,82511,4194797,2983920,81090,4101518,2881898,79933,3965322,2788351,79056,3937336,2857525,77750,3557340,2659486,77069,3424286,2565881,76003,3273998,2440052,74326,3228817,2394566,73013,2940978,2157303,72117,2853826,2040907,71497,2683517,1926699,70711,2598823,1949567,70018,2367968,1779208,69382,2288568,1670372,69104,2172076,1555935,68681,2093042,1517497,68363,1924624,1364326,68246,1881419,1280808,68288,1757846,1169090,68116,1753174,1157807,67742,1637053,1048608,67221,1567251,939145,67097,1524546,884436,66970,1517200,890866
