colnp,full,start,end,Term in Months,district
1,Thiru. Rakesh Kumar Yadav I.A.S. ,2001-01-01T00:00:00Z,2002-04-19T00:00:00Z,15,Ariyalur
2,Thiru. V.M. Xavier Chrisso Nayagam,2007-11-23T00:00:00Z,2008-03-05T00:00:00Z,3,Ariyalur
3.,Thiru. R. Sudalai Kannan I.A.S. ,2008-03-09T00:00:00Z,2009-02-23T00:00:00Z,11,Ariyalur
4.,Thiru. Anil Mesharam I.A.S. ,2009-02-24T00:00:00Z,2009-08-18T00:00:00Z,5,Ariyalur
5,Thiru. T. Abraham,2009-08-24T00:00:00Z,2010-09-29T00:00:00Z,13,Ariyalur
6,Thiru. T.K. Ponnusamy,2010-09-30T00:00:00Z,2011-06-03T00:00:00Z,8,Ariyalur
7,Tmt. Anu George,2011-06-08T00:00:00Z,2012-09-10T00:00:00Z,15,Ariyalur
8,Thiru. P. Senthilkumar,2012-09-12T00:00:00Z,2013-03-09T00:00:00Z,5,Ariyalur
9,Thiru. M. Ravikumar,2013-03-11T00:00:00Z,2013-08-07T00:00:00Z,4,Ariyalur
10,Thiru. E. Saravanavelraj,2013-08-08T00:00:00Z,2017-05-05T00:00:00Z,44,Ariyalur
11,Tmt.G Laxmi Priya,2017-07-12T00:00:00Z,2018-02-21T00:00:00Z,7,Ariyalur
12,Tmt.M.Vijayalakshmi,2018-02-26T00:00:00Z,2019-06-30T00:00:00Z,16,Ariyalur
13,T.G.Vinay IAS,2019-07-01T00:00:00Z,2019-10-12T00:00:00Z,3,Ariyalur
14,Tmt. D.Rathna,2019-10-13T00:00:00Z,,,Ariyalur
71,"Tmt. R.Seethalakshmi, IAS ",2019-07-01T00:00:00Z,,,Chennai
70,"Thiru A.Shanmuga Sundram, IAS ",2018-09-06T00:00:00Z,2019-06-30T00:00:00Z,9,Chennai
69,"Thiru V. Anbuselvan, IAS ",2017-03-09T00:00:00Z,2018-08-27T00:00:00Z,17,Chennai
68,"Tmt. B. Maheswari, IAS ",2016-09-10T00:00:00Z,2017-03-09T00:00:00Z,5,Chennai
67,Tmt.R.Alagumeena,2016-07-29T00:00:00Z,2016-09-09T00:00:00Z,1,Chennai
