0,1,2,3
"Goal 2: End hunger, achieve food security and improved nutrition and promote 
sustainable agriculture",,,
"SL
NATIONAL INDICATOR
VALuE OF THE INDICATOR",,,
"Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including 
infants, to safe, nutritious and sufficient food all year round",,,
1,"2.1.1: Percentage of children aged under 5 years who are underweight, 2015-16  
Source: Ministry of Health and Family Welfare (National Family Health Survey)   /  Periodicity: 3 Years",35.70,
2,"2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013, (in 
percentage)  
Source: Ministry of Consumer Affairs, Food and Public Distribution  /  Periodicity: Annual",year,Value
,,2015-16,95.18
,,2016-17,99.01
,,2017-18,99.24
,,2018-19,97.62
"Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and 
wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and 
older persons",,,
1,"2.2.1: Percentage of children under age 5 years who are stunted 2015-16  
Source: Ministry of Health and Family Welfare (National Family Health Survey)  /  Periodicity: 3 Years",38.40,
2,"2.2.2: Percentage of children under age 5 years who are wasted 2015-16  
Source: Ministry of Health and Family Welfare (National Family Health Survey)  /  Periodicity: 3 Years",21.0,
3,"2.2.3: Percentage of women whose Body Mass Index (BMI) is below normal, 2015-16  
Source: Ministry of Health and Family Welfare (National Family Health Survey)  /  Periodicity: 3 Years",22.90,
4,"2.2.4: Percentage of pregnant women age 15-49 years who are anaemic (<11.0g/dl), 2015-16 
Source: Ministry of Health and Family Welfare (National Family Health Survey)  /  Periodicity: 3 Years",50.40,
5,"2.2.5: Percentage of Children age 6-59 months who are anaemic (<11.0g/dl) 2015-16  
Source: Ministry of Health and Family Welfare (National Family Health Survey)  /  Periodicity: 3 Years",55.50,
"Target 2.3: By 2030, double the agricultural productivity and incomes of small scale food producers, in particular women, indigenous 
peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and 
inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",,,
1,"2.3.1: Agriculture productivity of wheat and rice, (in kg per hectare)  
Source: Ministry of Agriculture and Farmers Welfare  /  Periodicity: Annual",year,Value
,,2015-16,"Wheat - 3,034 
Rice - 2,400"
,,2016-17,"Wheat - 3,200 
Rice - 2,494"
,,2017-18,"Wheat - 3,368 
Rice - 2,576"
,,2018-19,"Wheat - 3,507 
Rice - 2,659"
2,"2.3.2: Gross Value Added in agriculture per worker, (in Rs.)  
Source: DES, Agriculture Statistics Division, Ministry of Agriculture and Farmers Welfare  /   
Periodicity: Annual",year,Value
,,2011-12,"57,087"
,,2015-16,"61,427"
,,2016-17,"65,278"
,,2017-18,"68,531"
3,"2.3.3: Ratio of institutional credit to agriculture to the agriculture output  
Source: (a) Numerator: Ministry of Agriculture and Farmers Welfare (b) Denominator: National 
Accounts Division, NSO, MoSPI  /  Periodicity: Annual",year,Value
,,2015-16,0.77
,,2016-17,0.54
,,2017-18,0.56
"Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase 
productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme 
weather, drought, flooding and other disasters and that progressively improve land and soil quality",,,
1,"2.4.1: Proportion of Net Sown Area to Cultivable land, 2015-16 (in percentage) 
Source: DES, Agriculture Statistics Division, Ministry of Agriculture and Farmers Welfare  /   
Periodicity: Annual",77.04,
2,"2.4.2: Percentage of farmers issued Soil Health Card  
Source DES, Agriculture Statistics Division, Ministry of Agriculture and Farmers Welfare  /   
Periodicity: Annual",year,Value
,,2015-17,100
,,2017-19,91.7
3,"2.4.3: Percentage of net area under organic farming 
Source: Ministry of Agriculture and Farmers Welfare (MoA&FW)  /  Periodicity: Annual",year,Value
,,2015-16,1.063
,,2016-17,1.030
,,2017-18,1.275
,,2018-19,1.383
"Target 2.5: By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their 
related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and 
international levels, and promote access to fair and equitable sharing of benefits arising from the utilization of genetic resources 
and associated traditional knowledge, as internationally agreed",,,
1,"2.5.1: Number of accessions conserved in the base collection (-18 Degree Celsius)  
at National Gene Bank  
Source: Ministry of Agriculture and Farmers Welfare (MoA&FW, DARE, National Bureau of Plant 
Genetic Resources, (ICAR-NBPGR)  /  Periodicity: Annual",year,Value
,,2015,"4,19,312"
,,2016,"4,30,573"
,,2017,"4,34,946"
,,2018,"4,39,717"
2,"2.5.2: Conservation of germplasm, 2015-16 (in number)  
Source: Ministry of Agriculture and Farmers Welfare (MoA&FW, DARE, National Bureau of Plant 
Genetic Resources, (ICAR-NBPGR)  /  Periodicity: Annual","75,563",
3,"2.5.3: Conservation of fish genetic resource (in number)  
Source: Ministry of Agriculture and Farmers Welfare (MoA&FW, DARE, National Bureau of Plant 
Genetic Resources, (ICAR-NBPGR)  /  Periodicity: Annual",Under compilation,
"Target 2.a: Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research 
and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive 
capacity in developing countries, in particular least developed countries",,,
1,"2.a.1: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to 
GVA in agriculture  
Source: National Accounts Division, NSO, MoSPI  /  Periodicity: Annual",year,Value
,,2015-16,0.044
,,2016-17,0.052
,,2017-18,0.056
2,"2.a.2: Percentage of total government expenditure in agriculture to GVA in agriculture 
Source: National Accounts Division, NSO, MoSPI  /  Periodicity: Annual",year,Value
,,2015-16,10.54
,,2016-17,9.72
,,2017-18,12.95
"Target 2.b: Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel 
elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the 
mandate of the Doha Development Round",,,
National indicator is under development,,,
"Target 2.c: Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely 
access to market information, including on food reserves, in order to help limit extreme food price volatility",,,
1,"2.c.1: Percentage of agriculture mandis enrolled in e-market  
year
Value
Source: Ministry of Agriculture and Farmers Welfare (MoA&FW)  /  Periodicity: Annual
2016-17
6.49",,,
,,,
"2017-18
3.10",,,
