,2015-16,,,2016-17,,,2017-18,,
State/ Sub Indicators,Primary,Secondary,"Higher 
Secondary",Primary,Secondary,"Higher 
Secondary",Primary,Secondary,"Higher 
Secondary"
Andaman and Nicobar Islands,0.95,0.95,1.05,0.95,0.94,1.08,0.94,0.93,1.04
Andhra Pradesh,0.99,1.02,1.07,0.95,1.02,1.07,0.94,0.99,1.15
Arunachal Pradesh,0.99,0.96,0.99,0.97,0.97,1.02,1.00,1.09,1.02
Assam,1.03,1.15,1.04,1.02,1.15,1.07,1.03,1.13,1.08
Bihar,1.06,1.18,1.07,1.07,1.21,1.03,1.06,1.25,1.00
Chandigarh,1.10,1.04,1.05,1.11,1.07,1.09,1.13,1.14,1.12
Chhattisgarh,1.00,1.06,1.01,1.00,1.06,1.06,1.00,1.02,1.05
Dadra and Nagar Haveli,0.93,0.91,1.14,0.94,0.94,1.17,0.93,0.92,1.16
Daman and Diu,1.06,1.21,1.97,1.10,1.25,2.02,1.12,1.14,2.21
Delhi,1.05,1.07,1.14,1.06,1.11,1.16,1.06,1.21,1.15
Goa,1.02,1.01,1.13,1.03,1.01,1.19,1.05,1.05,1.20
Gujarat,1.03,0.83,0.92,1.04,0.85,0.93,1.04,1.06,0.92
Haryana,1.03,0.99,1.00,1.02,1.01,0.99,1.02,1.14,0.99
Himachal Pradesh,1.02,0.97,1.02,1.02,0.99,1.01,1.02,1.01,1.03
Jammu and Kashmir,1.03,0.97,0.92,1.01,0.96,0.91,1.03,1.06,0.96
Jharkhand,1.01,1.09,1.03,0.99,1.10,1.04,0.99,1.11,1.04
Karnataka,1.00,1.02,1.16,0.99,1.01,1.14,0.99,1.02,1.13
Kerala,1.00,1.00,1.13,1.00,1.00,1.14,1.00,1.02,1.14
Lakshadweep,0.92,0.99,1.12,0.89,0.94,1.11,0.90,0.87,0.89
Madhya Pradesh,0.98,0.97,0.92,0.99,0.98,0.95,1.00,1.06,0.96
Maharashtra,1.00,0.95,0.97,0.99,0.95,0.97,0.99,1.06,0.96
Manipur,1.03,0.99,0.91,1.00,1.00,0.94,0.99,1.03,0.91
Meghalaya,1.03,1.16,1.18,1.01,1.17,1.15,1.01,1.15,1.16
Mizoram,0.97,1.03,1.08,0.96,1.04,1.09,0.98,1.01,1.11
Nagaland,1.03,1.08,1.00,1.02,1.10,1.02,1.03,1.07,1.06
Odisha,0.98,1.00,0.97,0.98,0.99,0.97,0.98,0.99,0.98
Puducherry,1.09,1.11,1.31,1.11,1.12,1.36,1.10,1.16,1.38
Punjab,1.04,0.99,1.03,1.05,1.00,1.04,1.06,1.12,1.05
Rajasthan,0.98,0.86,0.78,0.99,0.89,0.81,0.99,1.03,0.82
Sikkim,0.92,1.11,1.25,0.91,1.10,1.24,0.92,1.08,1.20
Tamil Nadu,1.01,1.04,1.22,1.00,1.06,1.22,1.00,1.04,1.23
Telangana,1.00,1.05,1.12,0.99,1.03,1.16,0.99,1.01,1.17
Tripura,1.01,1.04,0.92,1.01,1.05,0.94,1.01,1.05,0.98
Uttar Pradesh,1.08,1.00,0.96,1.08,0.97,0.95,1.08,1.22,0.92
Uttarakhand,1.01,1.00,1.07,1.00,1.01,1.05,1.00,1.01,1.05
West Bengal,1.01,1.24,1.12,1.00,1.27,1.16,1.01,1.15,1.22
All India,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.10,1.02
"Source: Department of Higher Education, Ministry of Human Resource Development",,,,,,,,,
