#Major Head,Desc
2011,PARLIAMENT/ STATE/ UNION TERRITORY LEGISLATURES
2012,PRESIDENT/ VICE-PRESIDENT/GOVERNOR/ ADMINISTRATOR OF UNION TERRITORIES
2013,COUNCIL OF MINISTERS
2014,ADMINISTRATION OF JUSTICE
2015,ELECTIONS
2020,COLLECTION OF TAXES ON INCOME AND EXPENDITURE
2029,LAND REVENUE
2030,STAMPS AND REGISTRATION
2035,COLLECTION OF OTHER TAXES ON PROPERTY AND CAPITAL TRANSACTIONS
2039,STATE EXCISE
2040,"TAXES ON SALES, TRADE ETC."
2041,TAXES ON VEHICLES
2045,OTHER TAXES AND DUTIES ON COMMODITIES AND SERVICES
2047,OTHER FISCAL SERVICES
2048,APPROPRIATION FOR REDUCTION OR AVOIDANCE OF DEBT
2049,INTEREST PAYMENTS
2051,PUBLIC SERVICE COMMISSION
2052,SECRETARIAT - GENERAL SERVICES
2053,DISTRICT ADMINISTRATION
2054,TREASURY AND ACCOUNTS ADMINISTRATION
2055,POLICE
2056,JAILS
2058,STATIONERY AND PRINTING
2059,PUBLIC WORKS
2059,PUBLIC WORKS
2062,VIGILANCE
2070,OTHER ADMINISTRATIVE SERVICES
2071,PENSION AND OTHER RETIREMENT BENEFITS
2075,MISCELLANEOUS GENERAL SERVICES
2202,GENERAL EDUCATION
2203,TECHNICAL EDUCATION
2204,SPORTS AND YOUTH SERVICES
2205,ART AND CULTURE
2210,MEDICAL AND PUBLIC HEALTH
2211,FAMILY WELFARE
2215,WATER SUPPLY AND SANITATION
2216,HOUSING
2217,URBAN DEVELOPMENT
2220,INFORMATION AND PUBLICITY
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES,OTHER BACKWARD CLASSES AND MINORITIES"
2230,"LABOUR, EMPLOYMENT AND SKILL DEVELOPMENT"
2235,SOCIAL SECURITY AND WELFARE
2236,NUTRITION
2245,RELIEF ON ACCOUNT OF NATURAL CALAMITIES
2250,OTHER SOCIAL SERVICES
2251,SECRETARIAT - SOCIAL SERVICES
2401,CROP HUSBANDRY
2402,SOIL AND WATER CONSERVATION
2403,ANIMAL HUSBANDRY
2404,DAIRY DEVELOPMENT
2405,FISHERIES
2406,FORESTRY AND WILD LIFE
2408,FOOD STORAGE AND WAREHOUSING
2415,AGRICULTURAL RESEARCH AND EDUCATION
2425,CO-OPERATION
2435,OTHER AGRICULTURAL PROGRAMMES
2501,SPECIAL PROGRAMMES FOR RURAL DEVELOPMENT
2505,RURAL EMPLOYMENT
2515,OTHER RURAL DEVELOPMENT PROGRAMMES
2551,HILL AREAS
2701,MEDIUM IRRIGATION
2702,MINOR IRRIGATION
2705,COMMAND AREA DEVELOPMENT
2711,FLOOD CONTROL AND DRAINAGE
2801,POWER
2810,NEW AND RENEWABLE ENERGY
2851,VILLAGE AND SMALL INDUSTRIES
2852,INDUSTRIES
2853,NON FERROUS MINING AND METALLURGICAL INDUSTRIES
2885,OTHER OUTLAYS ON INDUSTRIES AND MINERALS
3052,SHIPPING
3054,ROADS AND BRIDGES
3055,ROAD TRANSPORT
3056,INLAND WATER TRANSPORT
3075,OTHER TRANSPORT SERVICES
3425,OTHER SCIENTIFIC RESEARCH
3435,ECOLOGY AND ENVIRONMENT
3435,ECOLOGY AND ENVIRONMENT
3451,SECRETARIAT - ECONOMIC SERVICES
3452,TOURISM
3454,CENSUS SURVEYS AND STATISTICS
3456,CIVIL SUPPLIES
3475,OTHER GENERAL ECONOMIC SERVICES
3604,COMPENSATION AND ASSIGNMENTS TO LOCAL BODIES AND PANCHAYAT RAJ INSTITUTIONS
4055,CAPITAL OUTLAY ON POLICE
4058,CAPITAL OUTLAY ON STATIONERY AND PRINTING
4059,CAPITAL OUTLAY ON PUBLIC WORKS
4070,CAPITAL OUTLAY ON OTHER ADMINISTRATIVE SERVICES
4202,"CAPITAL OUTLAY ON EDUCATION, SPORTS, ART AND CULTURE"
4210,CAPITAL OUTLAY ON MEDICAL AND PUBLIC HEALTH
