State/ut,Total outstanding amount as on march 31,,,
,2015-16,2016-17,2017-18,2018-19
Andaman and& Nicobar,517.12,534.61,599.58,688.05
Andhra Pradesh,40840.41,44447.24,49610.86,56607.02
Arunachal Pradesh,580.26,648.29,702.27,802.74
Assam,11680.23,13066.16,15372.27,18880.27
Bihar,16754.32,19364.61,22388.88,27736.26
Chandigarh,9582.11,10021.53,8846.18,10538.07
Chhattisgarh,16221.14,18246.88,19231.49,23229.65
Dadra and Nagar Haveli,503.63,572.01,658.75,842.33
Daman and Diu,415.98,523.78,543.15,4132.58
Delhi,106755.95,103780.41,99502.74,102884.08
Goa,4520.77,4714.53,5021.80,5018.20
Gujarat,83927.70,94600.09,98059.32,119505.50
Haryana,42573.23,42947.13,45195.50,54908.77
Himachal Pradesh,6749.07,7102.73,7449.94,8074.65
Jammu and Kashmir,9207.83,10144.40,12084.42,13871.92
Jharkhand,15437.01,16317.03,17953.95,20186.07
Karnataka,78751.39,82371.15,79982.85,89094.96
Kerala,45615.86,46513.71,48359.03,53146.38
Lakshadweep,83.96,16.60,15.63,18.47
Madhya Pradesh,38674.77,41452.04,45403.04,52800.57
Maharashtra,227178.41,250605.29,235191.58,262887.01
Manipur,509.15,583.38,745.91,973.31
Meghalaya,893.11,890.00,905.05,1053.48
Mizoram,394.07,410.73,810.22,578.33
Nagaland,559.16,678.56,710.53,690.91
Orissa,20974.86,24450.12,25778.04,31449.27
Puducherry,2485.00,2546.03,2639.12,2924.06
Punjab,45841.76,45733.00,46439.69,54134.66
Rajasthan,48550.57,52885.67,58000.43,70412.30
Sikkim,482.08,549.96,516.20,1067.98
Tamil Nadu,139221.94,145119.87,151904.46,165455.58
Telangana,45354.30,50778.43,53170.15,55848.81
Tripura,1704.61,1861.81,2274.25,2595.59
Uttarakhand,16216.61,11278.25,26979.77,26474.71
Uttar Pradesh,69988.57,79224.49,72614.51,90201.48
West Bengal,66260.15,71418.31,68577.78,80936.52
All India (Total),1216007.11,1296398.82,1324239.34,1510650.52
"Source: Ministry of Micro, Small and Medium Enterprises",,,,
