State/ut-wise percentage share of unemployed persons in usual status (ps+ss) in population aged 15-24 years during,
State/uT,2017-18
Andhra Pradesh,8.1
Arunachal Pradesh,5.5
Assam,10.3
Bihar,5.7
Chhattisgarh,4.9
Delhi,8.3
Goa,16.5
Gujarat,6.9
Haryana,8.4
Himachal Pradesh,7.5
Jammu and Kashmir,5.0
Jharkhand,7.5
Karnataka,6.9
Kerala,12.0
Madhya Pradesh,5.8
Maharashtra,5.8
Manipur,9.0
Meghalaya,1.9
Mizoram,11.5
Nagaland,14.6
Odisha,9.5
Punjab,8.9
Rajasthan,5.8
Sikkim,4.4
Tamil Nadu,12.6
Telangana,9.5
Tripura,7.4
Uttarakhand,7.6
Uttar Pradesh,5.7
West Bengal,6.0
Andaman and Nicobar Islands,20.0
Chandigarh,5.3
Dadra and Nagar Haveli,0.2
Daman and Diu,6.3
Lakshadweep,27.6
Puducherry,10.5
All India,7.0
"Source: PLFS, National Sample Survey, NSS, MoSPI",
