State/ut-wise percentage of households (hhs) provided employment out of total hhs issued job cards during the year,,,,,
State/uT,2015-16,2016-17,2017-18,2018-19,2019-20
Andhra Pradesh,42.90,46.66,46.23,47.95,42.56
Arunachal Pradesh,86.33,93.15,64.42,70.12,62.24
Assam,31.61,35.47,38.06,37.77,32.74
Bihar,-,-,-,,15.72
Chhattisgarh,55.05,57.78,62.84,64.56,55.80
Goa,18.01,20.42,19.52,3.42,2.95
Gujarat,16.17,21.14,24.37,24.54,17.96
Haryana,22.20,33.19,30.81,24.89,21.49
Himachal Pradesh,35.88,44.34,42.22,44.62,36.46
Jammu And Kashmir,50.25,49.90,57.55,53.89,27.87
Jharkhand,30.28,42.05,35.06,29.15,27.48
Karnataka,22.05,34.35,34.42,35.41,33.05
Kerala,46.97,45.21,39.32,42.10,37.53
Madhya Pradesh,32.47,41.56,51.94,56.45,46.27
Maharashtra,-,-,-,,15.22
Manipur,87.41,94.42,89.57,90.51,91.98
Meghalaya,74.77,80.31,79.89,84.72,77.23
,,,,,101.70
Mizoram,102.06,99.35,99.78,101.13,7.00
Nagaland,98.07,97.40,94.97,89.00,85.99
Odisha,29.88,31.64,36.46,33.22,29.09
Punjab,39.68,41.73,45.32,42.54,40.83
Rajasthan,42.28,47.63,46.29,51.11,50.55
Sikkim,76.20,84.77,78.80,75.20,64.46
Tamil Nadu,71.38,79.21,73.01,68.53,65.38
Telangana,40.68,44.28,47.78,46.36,42.41
Tripura,92.61,94.82,85.58,87.91,88.77
Uttar Pradesh,33.97,32.71,31.42,31.29,28.97
Uttarakhand,47.93,51.38,48.92,46.23,34.14
West Bengal,48.92,45.70,44.73,36.78,32.39
Andaman And Nicobar,18.54,33.02,20.31,17.63,14.77
Dadra and Nagar Haveli,0.00,0.00,0.00,0.00,0.00
Daman and Diu,0.00,0.00,0.00,0.00,0.00
Lakshadweep,1.63,0.10,1.76,3.17,1.01
Puducherry,47.53,45.02,59.00,50.47,53.68
Total,41.38,44.93,44.94,44.07,35.30
"Source: MGNREGA, Ministry of Rural Development",,,,,
