State/ut-wise percentage change in number of tourists during the reference year over previous year,,,
State/uT,2016 over 2015,2017 over 2016,2018 over 2017
Andhra Pradesh,26.0,7.9,17.7
Arunachal Pradesh,9.7,15.0,15.3
Assam,-6.1,17.3,-3.0
Bihar,2.0,13.4,3.6
Chhattisgarh,-9.8,4.9,11.4
Goa,19.5,22.2,3.6
Gujarat,16.5,14.5,12.5
Haryana,0.2,-19.1,-20.5
Himachal Pradesh,5.2,6.2,-16.1
Jammu and Kashmir,3.0,51.0,20.3
Jharkhand,0.9,1.0,5.0
Karnataka,8.1,38.6,19.0
Kerala,5.7,10.9,5.9
Madhya Pradesh,92.4,-48.0,7.6
Maharashtra,12.4,2.5,0.0
Manipur,2.9,2.1,16.3
Meghalaya,10.6,19.5,21.3
Mizoram,1.2,1.1,12.5
Nagaland,-8.8,9.9,57.9
Odisha,9.0,9.2,8.6
Punjab,51.2,5.2,10.6
Rajasthan,17.3,10.5,9.4
Sikkim,9.4,75.2,5.1
Tamil Nadu,3.1,0.4,12.0
Telangana,0.7,-10.2,9.0
Tripura,2.4,-12.8,10.4
Uttar Pradesh,4.2,9.6,21.6
Uttarakhand,3.4,12.6,3.7
West Bengal,6.0,6.9,7.5
Andaman and Nicobar Islands,28.5,21.8,5.4
Chandigarh,10.0,20.1,8.3
Dadra and Nagar Haveli,11.6,4.3,-0.8
Daman and Diu,4.4,3.8,4.7
Delhi,12.1,2.8,0.0
Lakshadweep,-48.6,-19.2,53.6
Puducherry,8.0,9.7,5.7
Total,12.7,2.7,12.1
Source: Ministry of Tourism,,,
