State/ut,Percentage of women aged 15-19 years who were already moth-ers or pregnant
Andhra Pradesh,11.80
Assam,13.60
Bihar,12.20
Chhattisgarh,4.80
Gujarat,6.50
Haryana,5.80
Jharkhand,11.90
Karnataka,7.80
Kerala,3.00
Madhya Pradesh,7.30
Maharashtra,8.30
Odisha,7.60
Punjab,2.60
Rajasthan,6.30
Tamil Nadu,5.00
Telangana,10.50
Uttar Pradesh,3.80
West Bengal,18.30
Arunachal Pradesh,10.50
Delhi,2.10
Goa,2.90
Himachal Pradesh,2.60
Jammu and Kashmir,2.90
Manipur,7.40
Meghalaya,8.60
Mizoram,7.20
Nagaland,5.70
Sikkim,2.80
Tripura,18.80
Uttarakhand,2.80
Andaman & Nicobar Islands,4.70
Chandigarh,2.10
Dadra and Nagar Haveli,10.20
Daman and Diu,4.50
Lakshadweep,0.00
Puducherry,3.50
All India (Total),7.90
Source: Ministry of Health and Family Welfare (National Family Health Survey),
