State/ut,2015-16,2017-18,2018-19
Andhra Pradesh,59,70,75
Arunachal Pradesh,50,55,63%
Assam,59,66,77
Bihar,63,74,79
Chhattisgarh,60,67,76
Goa,65,73,84
Gujarat,69,76,87
Haryana,46,64,72
Himachal Pradesh,77,85,87
Jammu and Kashmir,63,71,77
Jharkhand,62,73,80
Karnataka,66,74,83
Kerala,69,82,96
Madhya Pradesh,62,69,77
Maharashtra,62,69,84
Manipur,55,72,86
Meghalaya,54,65,72
Mizoram,58,66,79
Nagaland,49,53,65
Odisha,62,73,86
Punjab,60,70,83
Rajasthan,69,77,87
Sikkim,73,87,89
Tamil Nadu,65,74,84
Telangana,51,56,91
Tripura,17,82,88
Uttar Pradesh,62,73,82
Uttarakhand,69,76,79
West Bengal,64,74,89
Andaman & Nicobar Islands*,--,45,69
Chandigarh,62,74,>95
Delhi,57,61,77
Pondicherry,63,65,67
India,62,70,82
"Source: Ministry of Health & FW (Ministry of Health and Family Welfare (National Family Health Survey) 
Note: * During 2015-16, there were no ART centres’ in the State.",,,
