State/ut,Year 2015-16
Andhra Pradesh,69.40
Arunachal Pradesh,26.60
Assam,37.00
Bihar,23.20
Chhattisgarh,54.50
Goa,24.80
Gujarat,43.10
Haryana,59.40
Himachal Pradesh,52.00
Jammu and Kashmir,46.00
Jharkhand,37.40
Karnataka,51.30
Kerala,50.30
Madhya Pradesh,49.50
Maharashtra,62.50
Manipur,12.70
Meghalaya,21.90
Mizoram,35.20
Nagaland,21.20
Odisha,45.40
Punjab,66.30
Rajasthan,53.50
Sikkim,45.90
Tamil Nadu,52.60
Telangana,56.90
Tripura,42.80
Uttar Pradesh,31.70
Uttarakhand,49.30
West Bengal,57.00
A&N Islands,48.00
Chandigarh,58.20
Dadra and Nagar Haveli,37.90
Daman and Diu,31.60
Delhi,48.60
Lakshadweep,15.70
Puducherry,61.20
All India (Total),47.70
Source: Ministry of Health and Family Welfare (National Family Health Survey),
