"(bcg, measles and three doses of pentavalent vaccine) (2015-16)",
State/uT,All basic vaccinations
Andhra Pradesh,65.20
Arunachal Pradesh,38.20
Assam,47.10
Bihar,61.70
Chhattisgarh,76.40
Goa,88.40
Gujarat,50.40
Haryana,62.20
Himachal Pradesh,69.50
Jammu and Kashmir,75.10
Jharkhand,61.90
Karnataka,62.60
Kerala,82.10
Madhya Pradesh,53.60
Maharashtra,56.20
Manipur,65.80
Meghalaya,61.40
Mizoram,50.70
Nagaland,35.40
Odisha,78.60
Punjab,89.00
Rajasthan,54.80
Sikkim,83.00
Tamil Nadu,69.70
Telangana,67.50
Tripura,54.50
Uttar Pradesh,51.10
Uttarakhand,57.60
West Bengal,84.40
Andaman and Nicobar Islands,73.20
Chandigarh,79.50
Dadra and Nagar Haveli,43.20
Daman and Diu,66.30
Delhi,68.80
Lakshadweep,89.00
Puducherry,91.20
All India (Total),62.00
Source: Ministry of Health and Family Welfare (National Family Health Survey),
