India & bigger states/uts,Fe-totalmalemale,,,Fe-totalmalemale,,,Fe-totalmalemale,,
,2015,,,2016,,,2017,,
India,43,40,45,39,37,41,37,36,39
Andhra Pradesh,39,37,42,37,36,38,35,35,34
Assam,62,58,66,52,48,57,48,45,51
Bihar,48,43,54,43,35,51,41,39,43
Chhattisgarh,48,45,51,49,49,48,47,49,44
Delhi,20,18,23,22,22,23,21,20,22
Gujarat,39,38,41,33,34,33,33,33,33
Haryana,43,41,46,37,34,42,35,32,38
Himachal Pradesh,33,34,32,27,26,29,25,24,27
Jammu and Kashmir,28,25,31,26,25,28,24,25,24
Jharkhand,39,35,44,33,31,35,34,30,38
Karnataka,31,31,32,29,26,31,28,28,28
Kerala,13,12,14,11,10,12,12,12,11
Madhya Pradesh,62,63,61,55,58,52,55,56,54
Maharashtra,24,21,26,21,20,23,21,21,22
Odisha,56,56,55,50,49,51,47,46,48
Punjab,27,27,26,24,24,25,24,23,25
Rajasthan,50,44,56,45,42,49,43,41,45
Tamil Nadu,20,20,21,19,19,19,19,19,19
Telangana,34,33,35,34,33,34,32,31,33
Uttar Pradesh,51,49,53,47,46,49,46,43,48
Uttarakhand,38,36,41,41,38,45,35,38,32
West Bengal,30,28,31,27,27,28,26,25,27
"Source: SRS Statistical Report, ORGI, MHA",,,,,,,,,
