State/ut,2015-16,
,women,men
Andhra Pradesh,2.30,26.80
Arunachal Pradesh,17.70,60.00
Assam,19.70,63.90
Bihar,2.80,50.10
Chhattisgarh,21.60,55.20
Goa,1.90,20.80
Gujarat,7.40,51.40
Haryana,1.60,35.80
Himachal Pradesh,0.50,40.50
Jammu and Kashmir,2.80,38.20
Jharkhand,5.80,48.60
Karnataka,4.20,34.30
Kerala,0.80,25.70
Madhya Pradesh,10.40,59.50
Maharashtra,5.80,36.50
Manipur,48.80,70.60
Meghalaya,32.30,72.20
Mizoram,59.20,80.40
Nagaland,27.50,69.40
Odisha,17.30,55.90
Punjab,0.10,19.20
Rajasthan,6.30,46.90
Sikkim,7.30,40.30
Tamil Nadu,2.20,31.70
Telangana,2.80,28.30
Tripura,42.20,67.80
Uttar Pradesh,1.30,17.60
Uttarakhand,2.90,43.70
West Bengal,8.70,58.80
Andaman & Nicobar Islands,25.10,61.60
Chandigarh,0.40,22.50
Dadra and Nagar Haveli,2.10,39.90
Daman and Diu,0.50,32.20
Delhi,1.60,30.40
Lakshadweep,16.40,24.70
Puducherry,1.00,14.40
All India (Total),6.80,44.50
Source: Ministry of Health and Family Welfare (National Family Health Survey),,
