State/ut,2015,2017
Andhra Pradesh,0.69,0.63
Assam,0.05,0.06
Bihar,0.16,0.16
Chattisgarh,0.13,0.13
Gujarat,0.19,0.19
Haryana,0.18,0.18
Jharkhand,0.14,0.14
Karnataka,0.53,0.47
Kerala,0.08,0.08
Madhya Pradesh,0.1,0.09
Maharashtra,0.37,0.33
Odisha,0.13,0.13
Punjab,0.18,0.18
Rajasthan,0.1,0.1
Tamil Nadu,0.24,0.22
Telangana,0.75,0.7
Uttar Pradesh,0.09,0.09
West Bengal,0.21,0.2
Arunachal Pradesh,0.05,0.06
Delhi,0.29,0.3
Goa,0.47,0.42
Himachal Pradesh,0.06,0.05
Jammu and Kashmir,0.03,0.03
Manipur,1.55,1.43
Meghalaya,0.1,0.11
Mizoram,1.94,2.04
Nagaland,1.15,1.15
Sikkim,0.04,0.05
Tripura,0.09,0.09
Uttarakhand,0.1,0.11
Andaman & Nicobar Islands,0.11,0.14
Chandigarh,0.17,0.2
Dadra and Nagar Haveli,0.15,0.17
Daman and Diu,0.16,0.17
Lakshadweep,#,#
Puducherry,0.13,0.15
India,0.23,0.22
"Source: : Ministry of Health and Family Welfare (National AIDS Control Organisation) 
# Separate estimate not available, hence no data reported",,
