State/ut,2015,2017,2019
Andhra Pradesh,2.43,2.30,2.40
Arunachal Pradesh,0.91,0.96,1.01
Assam,2.06,1.91,1.80
Bihar,2.32,2.40,2.13
Chhattisgarh,2.68,2.84,3.14
Delhi,7.48,7.62,8.70
Goa,8.78,8.73,7.35
Gujarat,4.03,4.09,3.52
Haryana,3.06,3.20,3.54
Himachal Pradesh,1.36,1.48,1.49
Jammu and Kashmir,3.76,3.52,3.57
Jharkhand,3.49,3.67,3.33
Karnataka,2.89,2.98,3.26
Kerala,7.60,7.62,7.56
Madhya Pradesh,2.52,2.62,2.71
Maharashtra,3.11,3.19,3.51
Manipur,1.09,0.99,0.77
Meghalaya,3.17,2.93,3.17
Mizoram,2.54,2.22,2.09
Nagaland,2.30,2.29,2.18
Odisha,2.56,2.56,2.99
Punjab,3.07,3.22,3.16
Rajasthan,2.42,2.42,2.37
Sikkim,0.49,0.49,0.51
Tamil Nadu,3.46,3.59,3.71
Telengana,2.27,2.38,2.24
Tripura,2.22,2.05,2.20
Uttar Pradesh,2.92,3.09,3.05
Uttarakhand,1.41,1.43,1.57
West Bengal,2.35,2.41,2.26
Andaman and Nicobar Islands,0.45,0.42,0.50
Chandigarh,7.89,8.77,21.93
Dadra and Nagar Haveli,5.70,6.11,5.70
Daman and Diu,9.01,9.01,4.50
Lakshadweep,13.33,6.67,0.97
Puducherry,5.51,5.51,4.69
All India (Total),2.82,2.85,2.89
"Source: India State of Forest Report, Forest Survey of India, Ministry of Environment Forest and Climate Change",,,
