State/ut,2015,2016,2017
Andhra Pradesh,98.4,95.7,96.5
Arunachal Pradesh,100,100,100
Assam,100,100,100
Bihar,64.8,60.7,73.7
Chhattisgarh,100,100,100
Goa,87.1,84.4,80.4
Gujarat,98.7,98.8,91.9
Haryana,100,99.9,93.2
Himachal Pradesh,100,89.2,89.4
Jammu and Kashmir,76.3,77.6,78.8
Jharkhand,88.3,90.2,90.1
Karnataka,94.9,100,100
Kerala,98.1,97.1,98.7
Madhya Pradesh,77.3,74.6,74.6
Maharashtra,100,94,94.5
Manipur,100,100,100
Meghalaya,100,100,100
Mizoram,100,100,100
Nagaland,100,100,100
Odisha,96.1,97.5,88.2
Punjab,99.2,100,95.1
Rajasthan,98.7,100,94.4
Sikkim,72.2,66.2,66.2
Tamil Nadu,100,100,91.2
Telangana,94.6,97.3,97.2
Tripura,93,82.4,100
Uttar Pradesh,67.4,60.7,61.5
Uttarakhand,100,100,87.8
West Bengal,92.8,97.9,91.7
Andaman and Nicobar Islands,79.3,75.6,72.8
Chandigarh,100,100,100
Dadra and Nagar Haveli,73.7,86.2,91.4
Daman and Diu,78.8,49.9,57.9
Delhi,100,100,100
Lakshadweep,69.6,54.5,66.9
Puducherry,100,100,100
All India (Total),88.3,86,84.9
"Source: Office of Registrar General of India, Ministry of Home Affairs",,,
